subject,vertical,sports,markets,finance,climate,social,conflux_score,confidence,n_divergences,interpretation,conflux_rank,group,elo
Argentina,wc2026,0.8826,1.0,0.0652,0.9433,0.5685,0.8048733333333333,low,4,CONFLUX score 0.80 — strong outlook driven primarily by sports signal (0.88). Notable divergence: Sports signal diverges from consensus (19% gap).,1,J,2110.0
Spain,wc2026,0.8299,0.7117,0.8051,0.97,0.7159,0.8004912416107383,medium,0,CONFLUX score 0.80 — strong outlook driven primarily by sports signal (0.83).,2,H,2045.0
France,wc2026,0.8907,0.7732,0.6669,0.8258,0.4511,0.7884802572706935,medium,2,CONFLUX score 0.79 — strong outlook driven primarily by sports signal (0.89). Notable divergence: Sports signal diverges from consensus (17% gap).,3,I,2060.0
Germany,wc2026,0.8337,0.5121,0.5451,0.9474,0.6878,0.7212118008948546,low,2,CONFLUX score 0.72 — strong outlook driven primarily by sports signal (0.83). Notable divergence: Markets signal diverges from consensus (19% gap).,4,E,1990.0
England,wc2026,0.7891,0.6534,0.6338,0.97,0.4141,0.7202239261744967,low,2,CONFLUX score 0.72 — strong outlook driven primarily by sports signal (0.79). Notable divergence: Climate signal strongly exceeds composite by 28%.,5,L,2030.0
Brazil,wc2026,0.7083,0.598,0.7668,0.93,0.3011,0.668021644295302,low,2,CONFLUX score 0.67 — strong outlook driven primarily by sports signal (0.71). Notable divergence: Climate signal strongly exceeds composite by 27%.,6,C,2015.0
Portugal,wc2026,0.7214,0.5802,0.7227,0.97,0.1837,0.6573203355704698,low,2,CONFLUX score 0.66 — strong outlook driven primarily by sports signal (0.72). Notable divergence: Climate signal strongly exceeds composite by 33%.,7,K,2010.0
Netherlands,wc2026,0.7467,0.4956,0.629,0.9433,0.2944,0.6465977293064877,low,2,CONFLUX score 0.65 — moderate outlook driven primarily by sports signal (0.75). Notable divergence: Climate signal strongly exceeds composite by 32%.,8,F,1985.0
Croatia,wc2026,0.7251,0.4047,0.8262,0.97,0.3333,0.6404194966442952,low,3,CONFLUX score 0.64 — moderate outlook driven primarily by sports signal (0.73). Notable divergence: Markets signal strongly lags composite by 25%.,9,L,1955.0
Belgium,wc2026,0.719,0.4339,0.6329,0.9567,0.2111,0.6120898210290828,low,3,CONFLUX score 0.61 — moderate outlook driven primarily by sports signal (0.72). Notable divergence: Markets signal diverges from consensus (16% gap).,10,G,1965.0
Japan,wc2026,0.6673,0.203,0.5756,0.9433,0.7789,0.5808233668903804,low,2,CONFLUX score 0.58 — moderate outlook driven primarily by sports signal (0.67). Notable divergence: Markets signal strongly lags composite by 43%.,11,F,1870.0
USA,wc2026,0.53,0.2433,0.7557,0.97,1.0,0.5718921476510068,low,4,CONFLUX score 0.57 — moderate outlook driven primarily by sports signal (0.53). Notable divergence: Sports signal diverges from consensus (17% gap).,12,D,1890.0
