team,group,elo,form_5,sports_signal,sports_rank
Argentina,J,2090.0,1.0,1.0,1
France,I,2050.0,0.8667,0.9023,2
Germany,E,1990.0,1.0,0.8557,3
Spain,H,2040.0,0.7333,0.8478,4
England,L,2020.0,0.6667,0.799,5
Netherlands,F,1980.0,0.7333,0.7612,6
Croatia,L,1950.0,0.8,0.7379,7
Belgium,G,1960.0,0.7333,0.7324,8
Portugal,K,2000.0,0.5333,0.7301,9
Brazil,C,2010.0,0.4667,0.7245,10
Japan,F,1855.0,1.0,0.6608,11
Morocco,C,1910.0,0.7333,0.6602,12
Mexico,A,1890.0,0.7333,0.6313,13
Colombia,J,1930.0,0.4667,0.6091,14
Uruguay,H,1940.0,0.4,0.6035,15
Senegal,I,1850.0,0.8,0.5936,16
Ivory Coast,E,1845.0,0.8,0.5864,17
USA,D,1900.0,0.45,0.5608,18
Turkey,D,1810.0,0.8667,0.5559,19
Norway,I,1860.0,0.5333,0.528,20
Denmark,K,1855.0,0.5333,0.5208,21
Switzerland,B,1880.0,0.4,0.5169,22
Austria,J,1820.0,0.6667,0.5103,23
South Korea,A,1830.0,0.6,0.5047,24
Ecuador,E,1840.0,0.4667,0.4792,25
Iran,G,1800.0,0.5333,0.4414,26
Algeria,J,1760.0,0.6667,0.4237,27
Egypt,G,1770.0,0.5333,0.3981,28
Chile,C,1710.0,0.8,0.3915,29
Australia,D,1790.0,0.4,0.387,30
Scotland,C,1750.0,0.4,0.3293,31
Ukraine,B,1700.0,0.6,0.3171,32
Czechia,A,1730.0,0.45,0.3154,33
Tunisia,F,1740.0,0.4,0.3148,34
DR Congo,K,1670.0,0.6667,0.2938,35
Iraq,I,1680.0,0.6,0.2882,36
Paraguay,D,1720.0,0.4,0.286,37
Sweden,E,1700.0,0.4667,0.2771,38
Venezuela,H,1700.0,0.4667,0.2771,39
Peru,F,1755.0,0.1333,0.2565,40
Canada,B,1685.0,0.4667,0.2555,41
Uzbekistan,K,1630.0,0.6,0.2161,42
Panama,L,1625.0,0.5333,0.1889,43
Saudi Arabia,H,1690.0,0.2,0.1827,44
South Africa,A,1660.0,0.2667,0.1594,45
Bosnia,B,1620.0,0.45,0.1566,46
Ghana,L,1655.0,0.2,0.1322,47
New Zealand,G,1605.0,0.2667,0.08,48
