team,elo,win_rate,goals_for,goals_against,clean_sheet_rate,form_score,group,strength
Argentina,2090,0.9,2.48,0.82,0.938,1.0,H,97.5
France,2050,0.803,2.38,0.9,0.887,1.0,D,91.01
Spain,2040,0.748,2.35,0.92,0.875,1.0,E,88.62
England,2020,0.731,2.3,0.96,0.85,1.0,F,86.16
Brazil,2010,0.686,2.27,0.98,0.837,1.0,G,84.01
Portugal,2000,0.703,2.25,1.0,0.825,1.0,I,83.42
Germany,1990,0.687,2.23,1.02,0.812,1.0,J,82.01
Netherlands,1980,0.679,2.2,1.04,0.8,1.0,K,80.79
Croatia,1950,0.622,2.12,1.1,0.762,1.0,H,76.31
Colombia,1930,0.698,2.08,1.14,0.738,1.0,G,76.18
Belgium,1960,0.557,2.15,1.08,0.775,1.0,G,75.7
Uruguay,1940,0.61,2.1,1.12,0.75,1.0,J,75.0
Morocco,1910,0.681,2.02,1.18,0.712,1.0,D,73.72
USA,1900,0.66,2.0,1.2,0.7,1.0,B,72.18
Mexico,1890,0.581,1.98,1.22,0.688,1.0,A,69.19
Switzerland,1880,0.501,1.95,1.24,0.675,1.0,C,66.17
Japan,1855,0.563,1.89,1.29,0.644,1.0,D,65.18
Serbia,1870,0.501,1.93,1.26,0.663,1.0,E,65.15
Norway,1860,0.476,1.9,1.28,0.65,1.0,L,63.51
Senegal,1850,0.493,1.88,1.3,0.637,1.0,F,62.92
Ecuador,1840,0.46,1.85,1.32,0.625,1.0,H,61.08
South Korea,1830,0.379,1.82,1.34,0.613,1.0,A,58.03
Austria,1820,0.402,1.8,1.36,0.6,1.0,L,57.59
Turkey,1810,0.442,1.77,1.38,0.588,1.0,B,57.58
Iran,1800,0.473,1.75,1.4,0.575,1.0,I,57.33
Australia,1790,0.513,1.73,1.42,0.562,0.983,B,57.06
Nigeria,1780,0.433,1.7,1.44,0.55,0.967,E,53.8
Egypt,1770,0.349,1.68,1.46,0.538,0.95,I,50.43
Algeria,1760,0.394,1.65,1.48,0.525,0.933,H,50.29
Scotland,1750,0.422,1.62,1.5,0.512,0.917,L,49.73
Czechia,1730,0.384,1.57,1.54,0.487,0.883,A,46.23
Tunisia,1740,0.33,1.6,1.52,0.5,0.9,K,46.16
Paraguay,1720,0.301,1.55,1.56,0.475,0.867,B,42.9
Chile,1710,0.273,1.52,1.58,0.463,0.85,K,40.93
Cameroon,1700,0.266,1.5,1.6,0.45,0.833,J,39.48
Saudi Arabia,1690,0.296,1.48,1.62,0.438,0.817,G,38.98
Iraq,1680,0.332,1.45,1.64,0.425,0.8,K,38.61
Canada,1685,0.246,1.46,1.63,0.431,0.808,C,37.08
South Africa,1660,0.247,1.4,1.68,0.4,0.767,A,33.95
DR Congo,1670,0.169,1.43,1.66,0.412,0.783,F,33.26
Qatar,1650,0.214,1.38,1.7,0.388,0.75,C,31.85
Jordan,1640,0.225,1.35,1.72,0.375,0.733,L,30.86
Bosnia,1620,0.196,1.3,1.76,0.35,0.7,C,27.6
Uzbekistan,1630,0.14,1.32,1.74,0.363,0.717,F,27.48
Haiti,1600,0.134,1.25,1.8,0.325,0.667,D,23.52
Suriname,1580,0.1,1.2,1.84,0.3,0.633,I,20.13
Curacao,1520,0.1,1.05,1.96,0.225,0.533,J,12.53
New Caledonia,1500,0.1,1.0,2.0,0.2,0.5,E,10.0
