team1,team2,h2h_matches,h2h_win_rate_team1,h2h_draws
Mexico,South Korea,3,0.833,1
Mexico,Czechia,0,0.5,0
Mexico,South Africa,0,0.5,0
Mexico,USA,14,0.464,3
Mexico,Australia,1,0.5,1
Mexico,Paraguay,5,0.6,0
Mexico,Turkey,1,1.0,0
Mexico,Canada,6,0.667,2
Mexico,Switzerland,1,0.0,0
Mexico,Qatar,1,0.0,0
Mexico,Bosnia,0,0.5,0
Mexico,France,0,0.5,0
Mexico,Morocco,0,0.5,0
Mexico,Japan,2,0.75,1
Mexico,Haiti,2,1.0,0
Mexico,Spain,0,0.5,0
Mexico,Nigeria,2,1.0,0
Mexico,Serbia,0,0.5,0
Mexico,New Caledonia,0,0.5,0
Mexico,England,0,0.5,0
Mexico,Senegal,0,0.5,0
Mexico,DR Congo,0,0.5,0
Mexico,Uzbekistan,1,0.5,1
Mexico,Brazil,2,0.0,0
Mexico,Colombia,3,0.0,0
Mexico,Belgium,2,0.5,2
Mexico,Saudi Arabia,2,1.0,0
Mexico,Argentina,4,0.0,0
Mexico,Ecuador,5,0.5,3
Mexico,Croatia,2,0.0,0
Mexico,Algeria,1,0.5,1
Mexico,Portugal,3,0.333,2
Mexico,Egypt,0,0.5,0
Mexico,Iran,0,0.5,0
Mexico,Suriname,3,1.0,0
Mexico,Germany,3,0.5,1
Mexico,Cameroon,1,0.5,1
Mexico,Uruguay,5,0.3,1
Mexico,Curacao,1,1.0,0
Mexico,Netherlands,1,1.0,0
Mexico,Tunisia,0,0.5,0
Mexico,Chile,4,0.375,1
Mexico,Iraq,1,1.0,0
Mexico,Norway,0,0.5,0
Mexico,Scotland,1,1.0,0
Mexico,Austria,0,0.5,0
Mexico,Jordan,0,0.5,0
South Korea,Czechia,1,1.0,0
South Korea,South Africa,0,0.5,0
South Korea,USA,1,1.0,0
South Korea,Australia,3,0.833,1
South Korea,Paraguay,2,0.75,1
South Korea,Turkey,0,0.5,0
South Korea,Canada,1,1.0,0
South Korea,Switzerland,0,0.5,0
South Korea,Qatar,4,0.5,0
South Korea,Bosnia,0,0.5,0
South Korea,France,0,0.5,0
South Korea,Morocco,1,0.0,0
South Korea,Japan,4,0.5,0
South Korea,Haiti,0,0.5,0
South Korea,Spain,1,0.0,0
South Korea,Nigeria,0,0.5,0
South Korea,Serbia,1,0.5,1
South Korea,New Caledonia,0,0.5,0
South Korea,England,0,0.5,0
South Korea,Senegal,1,0.0,0
South Korea,DR Congo,0,0.5,0
South Korea,Uzbekistan,3,0.833,1
South Korea,Brazil,4,0.0,0
South Korea,Colombia,3,0.833,1
South Korea,Belgium,0,0.5,0
South Korea,Saudi Arabia,3,0.667,2
South Korea,Argentina,0,0.5,0
South Korea,Ecuador,0,0.5,0
South Korea,Croatia,0,0.5,0
South Korea,Algeria,0,0.5,0
South Korea,Portugal,1,1.0,0
South Korea,Egypt,1,1.0,0
South Korea,Iran,5,0.5,3
South Korea,Suriname,0,0.5,0
South Korea,Germany,1,1.0,0
South Korea,Cameroon,1,1.0,0
South Korea,Uruguay,3,0.5,1
South Korea,Curacao,0,0.5,0
South Korea,Netherlands,0,0.5,0
South Korea,Tunisia,1,1.0,0
South Korea,Chile,2,0.75,1
