team,source,prob
Mexico,polymarket,0.02
South Korea,polymarket,0.02
Czechia,polymarket,0.02
South Africa,polymarket,0.02
USA,polymarket,0.02
Australia,polymarket,0.02
Paraguay,polymarket,0.02
Turkey,polymarket,0.02
Canada,polymarket,0.02
Switzerland,polymarket,0.02
Qatar,polymarket,0.02
Bosnia,polymarket,0.02
France,polymarket,0.02
Morocco,polymarket,0.02
Japan,polymarket,0.02
Haiti,polymarket,0.02
Spain,polymarket,0.02
Nigeria,polymarket,0.02
Serbia,polymarket,0.02
New Caledonia,polymarket,0.02
England,polymarket,0.02
Senegal,polymarket,0.02
DR Congo,polymarket,0.02
Uzbekistan,polymarket,0.02
Brazil,polymarket,0.02
Colombia,polymarket,0.02
Belgium,polymarket,0.02
Saudi Arabia,polymarket,0.02
Argentina,polymarket,0.02
Ecuador,polymarket,0.02
Croatia,polymarket,0.02
Algeria,polymarket,0.02
Portugal,polymarket,0.02
Egypt,polymarket,0.02
Iran,polymarket,0.02
Suriname,polymarket,0.02
Germany,polymarket,0.02
Cameroon,polymarket,0.02
Uruguay,polymarket,0.02
Curacao,polymarket,0.02
Netherlands,polymarket,0.02
Tunisia,polymarket,0.02
Chile,polymarket,0.02
Iraq,polymarket,0.02
Norway,polymarket,0.02
Scotland,polymarket,0.02
Austria,polymarket,0.02
Jordan,polymarket,0.02
